#uwb_timestamp  uwb_distance imu_timestamp imu_yaw
1616394227.416 12.65 1616394227.418449 -0.01291543646233333
1616394227.566 12.65 1616394227.572482 -0.0130899693875
1616394227.676 12.61 1616394227.670402 -0.0130899693875
1616394227.775 12.57 1616394227.76839 -0.01291543646233333
1616394227.875 12.56 1616394227.880471 -0.0130899693875
1616394227.976 12.57 1616394227.978278 -0.0130899693875
1616394228.076 12.57 1616394228.076399 -0.0130899693875
1616394228.176 12.56 1616394228.174359 -0.0130899693875
1616394228.275 12.56 1616394228.272441 -0.0130899693875
1616394228.375 12.54 1616394228.370402 -0.01326450231266667
1616394228.475 12.56 1616394228.468439 -0.0130899693875
1616394228.576 12.52 1616394228.580456 -0.01326450231266667
1616394228.676 12.59 1616394228.678343 -0.0130899693875
1616394228.775 12.55 1616394228.776252 -0.0130899693875
1616394228.875 12.6 1616394228.874257 -0.0130899693875
1616394228.975 12.59 1616394228.972252 -0.0130899693875
1616394229.075 12.59 1616394229.070279 -0.01326450231266667
1616394229.175 12.57 1616394229.168266 -0.0130899693875
1616394229.275 12.57 1616394229.280443 -0.01326450231266667
1616394229.376 12.59 1616394229.37826 -0.01326450231266667
1616394229.476 12.58 1616394229.476287 -0.01326450231266667
1616394229.582 12.57 1616394229.58829 -0.01326450231266667
1616394229.676 12.61 1616394229.672359 -0.01326450231266667
1616394229.776 12.59 1616394229.770264 -0.01326450231266667
1616394229.875 12.61 1616394229.868364 -0.01326450231266667
1616394229.976 12.59 1616394229.980384 -0.01326450231266667
1616394230.076 12.56 1616394230.078276 -0.01326450231266667
1616394230.176 12.58 1616394230.17634 -0.01326450231266667
1616394230.565 12.54 1616394230.56831 -0.01326450231266667
1616394231.065 12.6 1616394231.05816 -0.01326450231266667
1616394231.175 12.55 1616394231.170298 -0.01326450231266667
1616394231.276 12.6 1616394231.282171 -0.01326450231266667
1616394231.376 12.6 1616394231.380271 -0.01343903523783333
1616394231.475 12.58 1616394231.478128 -0.01326450231266667
1616394231.575 12.57 1616394231.576264 -0.01343903523783333
1616394231.676 12.56 1616394231.674258 -0.01343903523783333
1616394231.775 12.55 1616394231.772278 -0.01343903523783333
1616394231.876 12.61 1616394231.870276 -0.01343903523783333
1616394231.975 12.53 1616394231.968145 -0.01343903523783333
1616394232.076 12.6 1616394232.080119 -0.013613568163
1616394232.175 12.64 1616394232.178157 -0.01343903523783333
1616394232.276 12.61 1616394232.276171 -0.013613568163
1616394232.376 12.62 1616394232.37428 -0.013613568163
1616394232.476 12.61 1616394232.472195 -0.013613568163
1616394232.575 12.58 1616394232.570157 -0.01343903523783333
1616394232.676 12.58 1616394232.682155 -0.01343903523783333
1616394232.781 12.6 1616394232.78016 -0.013613568163
1616394232.877 12.6 1616394232.878142 -0.013613568163
1616394232.975 12.61 1616394232.976109 -0.013613568163
1616394233.076 12.58 1616394233.074282 -0.013613568163
1616394233.175 12.57 1616394233.172167 -0.013613568163
1616394233.275 12.61 1616394233.270156 -0.013613568163
1616394233.377 12.59 1616394233.382157 -0.013613568163
1616394233.475 12.6 1616394233.480147 -0.013613568163
1616394233.575 12.57 1616394233.578106 -0.013613568163
1616394233.675 12.56 1616394233.67621 -0.013613568163
1616394233.775 12.61 1616394233.774091 -0.013613568163
1616394233.875 12.53 1616394233.872052 -0.013613568163
1616394233.975 12.6 1616394233.970033 -0.013613568163
1616394234.075 12.59 1616394234.068848 -0.013613568163
1616394235.465 12.59 1616394235.468011 -0.01396263401333333
1616394235.575 12.61 1616394235.58014 -0.01396263401333333
1616394235.675 12.61 1616394235.677945 -0.01396263401333333
1616394235.776 12.58 1616394235.776022 -0.01396263401333333
1616394235.876 12.6 1616394235.874015 -0.01396263401333333
1616394235.975 12.59 1616394235.971979 -0.01396263401333333
1616394236.076 12.57 1616394236.069881 -0.01396263401333333
1616394236.176 12.58 1616394236.18198 -0.01396263401333333
1616394236.275 12.58 1616394236.280075 -0.0141371669385
1616394236.376 12.55 1616394236.378044 -0.0141371669385
1616394236.475 12.54 1616394236.476054 -0.0141371669385
1616394236.578 12.58 1616394236.574032 -0.0141371669385
1616394236.675 12.59 1616394236.672054 -0.01431169986366667
1616394236.776 12.6 1616394236.769975 -0.0141371669385
1616394236.867 12.57 1616394236.867845 -0.01431169986366667
1616394236.975 12.59 1616394236.98001 -0.01431169986366667
1616394237.075 12.54 1616394237.078003 -0.0141371669385
1616394237.177 12.59 1616394237.177811 -0.0141371669385
1616394237.276 12.63 1616394237.274028 -0.01431169986366667
1616394237.38 12.6 1616394237.385952 -0.01431169986366667
1616394237.476 12.6 1616394237.469925 -0.01431169986366667
1616394237.576 12.61 1616394237.581936 -0.01431169986366667
1616394237.676 12.59 1616394237.679886 -0.01431169986366667
1616394237.776 12.64 1616394237.777927 -0.01431169986366667
1616394237.876 12.57 1616394237.876018 -0.01431169986366667
1616394237.975 12.6 1616394237.973936 -0.01448623278883333
1616394238.076 12.61 1616394238.071905 -0.01448623278883333
1616394238.175 12.61 1616394238.169772 -0.01448623278883333
1616394238.275 12.61 1616394238.281798 -0.01448623278883333
1616394238.376 12.61 1616394238.379863 -0.01448623278883333
1616394238.475 12.59 1616394238.477752 -0.01448623278883333
1616394238.576 12.61 1616394238.576005 -0.01448623278883333
1616394238.675 12.58 1616394238.67467 -0.01448623278883333
1616394238.775 12.56 1616394238.771903 -0.01448623278883333
1616394238.875 12.61 1616394238.869854 -0.01448623278883333
1616394238.975 12.56 1616394238.981783 -0.01448623278883333
1616394239.075 12.61 1616394239.079817 -0.01448623278883333
1616394239.175 12.61 1616394239.178741 -0.01448623278883333
1616394239.275 12.53 1616394239.275911 -0.01448623278883333
1616394239.375 12.63 1616394239.373884 -0.01448623278883333
1616394239.476 12.59 1616394239.471952 -0.01448623278883333
1616394239.575 12.55 1616394239.569859 -0.01448623278883333
1616394239.675 12.58 1616394239.681848 -0.01448623278883333
1616394239.777 12.55 1616394239.779824 -0.01448623278883333
1616394239.876 12.56 1616394239.877743 -0.01448623278883333
1616394239.976 12.56 1616394239.975857 -0.01448623278883333
1616394240.076 12.58 1616394240.073781 -0.01448623278883333
1616394240.176 12.58 1616394240.171817 -0.01448623278883333
1616394240.275 12.56 1616394240.26978 -0.01448623278883333
1616394240.376 12.59 1616394240.3818 -0.01448623278883333
1616394240.475 12.55 1616394240.479799 -0.01448623278883333
1616394240.576 12.59 1616394240.577758 -0.01448623278883333
1616394240.676 12.58 1616394240.675749 -0.01448623278883333
1616394240.775 12.61 1616394240.773745 -0.01448623278883333
1616394240.875 12.59 1616394240.871809 -0.01448623278883333
1616394240.98 12.6 1616394240.983803 -0.01448623278883333
1616394241.079 12.57 1616394241.081801 -0.01448623278883333
1616394241.175 12.62 1616394241.179735 -0.01448623278883333
1616394241.275 12.66 1616394241.277685 -0.01448623278883333
1616394241.375 12.62 1616394241.375739 -0.01448623278883333
1616394241.476 12.64 1616394241.473727 -0.01448623278883333
1616394241.575 12.65 1616394241.571754 -0.01448623278883333
1616394241.675 12.67 1616394241.6698 -0.01448623278883333
1616394241.775 12.61 1616394241.781698 -0.01448623278883333
1616394241.875 12.71 1616394241.879739 -0.01448623278883333
1616394241.975 12.68 1616394241.977745 -0.01448623278883333
1616394242.075 12.68 1616394242.075736 -0.01448623278883333
1616394242.175 12.68 1616394242.173596 -0.01448623278883333
1616394242.275 12.63 1616394242.271579 -0.01448623278883333
1616394242.379 12.61 1616394242.383759 -0.01448623278883333
